Customer ID,Title,Category
1000,The Adventures of Tom Sawyer,Adventure stories
1001,Around the World in 80 Days,Adventure stories
1002,The Count of Monte Cristo,Adventure stories
1003,Les Misérables,Classics

1007,The Da Vinci Code,Mystery

1008,The Jungle Book,Adventure stories
1008,The Silence of the Lambs,Crime
1008,Gone Girl,Mystery
1008,The Da Vinci Code,Mystery
1009,The Jungle Book,Adventure stories
1009,The Silence of the Lambs,Crime
1010,The Count of Monte Cristo,Adventure stories
1010,The Silence of the Lambs,Crime
"1000",The Picture of Dorian Gray,Classics
"1000",Angels and Demons,Crime
1007,The Picture of Dorian Gray,Classics

1006,The Jungle Book,Adventure stories


1015,The Swiss Family Robinson,Adventure stories

1007,Frankenstein,Classics
1007,The Name of the Wind,Fantasy
1007,The Girl with the Dragon Tattoo,Mystery

1017,Around the World in 80 Days,Adventure stories
1017,The Three Musketeers,Adventure stories

1018,Grit: The Power of Passion and Perseverance,Self-help books
1018,Big Magic: Creative Living Beyond Fear,Self-help books

1007,The Eye of the World,Fantasy